date,forecast_price
2024-12-31,6457.0933
2025-01-01,6456.092
2025-01-02,6455.2183
2025-01-03,6452.3223
2025-01-04,6457.6597
2025-01-05,6453.531
2025-01-06,6451.183
2025-01-07,6447.7183
2025-01-08,6451.0454
2025-01-09,6446.94
2025-01-10,6443.1357
2025-01-11,6447.408
2025-01-12,6442.823
2025-01-13,6441.1045
2025-01-14,6442.913
2025-01-15,6448.562
2025-01-16,6445.821
2025-01-17,6444.6836
2025-01-18,6442.6323
2025-01-19,6447.839
2025-01-20,6451.497
2025-01-21,6457.803
2025-01-22,6461.7964
2025-01-23,6459.0757
2025-01-24,6461.234
2025-01-25,6457.9688
2025-01-26,6460.6655
2025-01-27,6473.685
2025-01-28,6479.0312
2025-01-29,6481.744
