date,forecast_price
2024-12-31,6840.204
2025-01-01,6837.8027
2025-01-02,6835.7344
2025-01-03,6833.0825
2025-01-04,6832.0356
2025-01-05,6829.2163
2025-01-06,6826.2124
2025-01-07,6822.976
2025-01-08,6821.654
2025-01-09,6818.9185
2025-01-10,6816.538
2025-01-11,6815.629
2025-01-12,6812.7886
2025-01-13,6810.92
2025-01-14,6810.4194
2025-01-15,6810.98
2025-01-16,6809.4385
2025-01-17,6808.1094
2025-01-18,6807.046
2025-01-19,6807.3047
2025-01-20,6807.658
2025-01-21,6808.533
2025-01-22,6809.4424
2025-01-23,6808.844
2025-01-24,6809.5537
2025-01-25,6809.4546
2025-01-26,6809.461
2025-01-27,6810.197
2025-01-28,6810.6313
2025-01-29,6810.7666
