date,forecast_price
2024-12-31,7148.172
2025-01-01,7142.738
2025-01-02,7140.213
2025-01-03,7139.061
2025-01-04,7138.4824
2025-01-05,7138.1494
2025-01-06,7137.9336
2025-01-07,7137.779
2025-01-08,7137.662
2025-01-09,7137.5723
2025-01-10,7137.5024
2025-01-11,7137.4487
2025-01-12,7137.407
2025-01-13,7137.376
2025-01-14,7137.3525
2025-01-15,7137.334
2025-01-16,7137.321
2025-01-17,7137.311
2025-01-18,7137.3037
2025-01-19,7137.299
2025-01-20,7137.2944
2025-01-21,7137.292
2025-01-22,7137.29
2025-01-23,7137.2886
2025-01-24,7137.2876
2025-01-25,7137.2866
2025-01-26,7137.286
2025-01-27,7137.2856
2025-01-28,7137.2856
2025-01-29,7137.285
