date,forecast_price
2024-12-31,3011.3643
2025-01-01,2979.3667
2025-01-02,2952.4
2025-01-03,2930.2625
2025-01-04,2912.0806
2025-01-05,2897.1592
2025-01-06,2884.9038
2025-01-07,2874.844
2025-01-08,2866.582
2025-01-09,2859.8083
2025-01-10,2854.2488
2025-01-11,2849.683
2025-01-12,2845.9468
2025-01-13,2842.876
2025-01-14,2840.356
2025-01-15,2838.2903
2025-01-16,2836.6013
2025-01-17,2835.2144
2025-01-18,2834.0771
2025-01-19,2833.1428
2025-01-20,2832.378
2025-01-21,2831.7512
2025-01-22,2831.2375
2025-01-23,2830.822
2025-01-24,2830.477
2025-01-25,2830.1968
2025-01-26,2829.964
2025-01-27,2829.7725
2025-01-28,2829.617
2025-01-29,2829.4902
