date,forecast_price
2024-12-31,6055.5205
2025-01-01,6058.8794
2025-01-02,6061.148
2025-01-03,6062.6743
2025-01-04,6063.7075
2025-01-05,6064.419
2025-01-06,6064.9214
2025-01-07,6065.2866
2025-01-08,6065.5586
2025-01-09,6065.7656
2025-01-10,6065.926
2025-01-11,6066.0503
2025-01-12,6066.148
2025-01-13,6066.224
2025-01-14,6066.2837
2025-01-15,6066.33
2025-01-16,6066.366
2025-01-17,6066.394
2025-01-18,6066.4155
2025-01-19,6066.4316
2025-01-20,6066.4443
2025-01-21,6066.454
2025-01-22,6066.4614
2025-01-23,6066.467
2025-01-24,6066.4707
2025-01-25,6066.474
2025-01-26,6066.4766
2025-01-27,6066.478
2025-01-28,6066.4795
2025-01-29,6066.4805
