date,forecast_price
2024-12-31,4950.757
2025-01-01,4938.7905
2025-01-02,4930.556
2025-01-03,4925.277
2025-01-04,4921.962
2025-01-05,4919.8804
2025-01-06,4918.5635
2025-01-07,4917.7207
2025-01-08,4917.1743
2025-01-09,4916.816
2025-01-10,4916.5786
2025-01-11,4916.4194
2025-01-12,4916.3135
2025-01-13,4916.241
2025-01-14,4916.192
2025-01-15,4916.159
2025-01-16,4916.137
2025-01-17,4916.1226
2025-01-18,4916.1123
2025-01-19,4916.106
2025-01-20,4916.1006
2025-01-21,4916.097
2025-01-22,4916.095
2025-01-23,4916.0938
2025-01-24,4916.0933
2025-01-25,4916.093
2025-01-26,4916.0923
2025-01-27,4916.0923
2025-01-28,4916.0923
2025-01-29,4916.092
