date,forecast_price
2024-12-31,7393.543
2025-01-01,7397.112
2025-01-02,7396.3613
2025-01-03,7396.0283
2025-01-04,7395.8477
2025-01-05,7395.741
2025-01-06,7395.671
2025-01-07,7395.6206
2025-01-08,7395.584
2025-01-09,7395.556
2025-01-10,7395.534
2025-01-11,7395.518
2025-01-12,7395.5054
2025-01-13,7395.495
2025-01-14,7395.488
2025-01-15,7395.482
2025-01-16,7395.477
2025-01-17,7395.4736
2025-01-18,7395.4707
2025-01-19,7395.4688
2025-01-20,7395.467
2025-01-21,7395.4653
2025-01-22,7395.464
2025-01-23,7395.4634
2025-01-24,7395.463
2025-01-25,7395.4624
2025-01-26,7395.462
2025-01-27,7395.4614
2025-01-28,7395.4614
2025-01-29,7395.461
