date,forecast_price
2024-12-31,7019.8857
2025-01-01,7033.8184
2025-01-02,7036.928
2025-01-03,7038.7363
2025-01-04,7039.792
2025-01-05,7040.42
2025-01-06,7040.8027
2025-01-07,7041.041
2025-01-08,7041.1934
2025-01-09,7041.292
2025-01-10,7041.3564
2025-01-11,7041.4
2025-01-12,7041.4287
2025-01-13,7041.4487
2025-01-14,7041.4624
2025-01-15,7041.4717
2025-01-16,7041.4785
2025-01-17,7041.483
2025-01-18,7041.4863
2025-01-19,7041.489
2025-01-20,7041.49
2025-01-21,7041.491
2025-01-22,7041.492
2025-01-23,7041.4927
2025-01-24,7041.493
2025-01-25,7041.494
2025-01-26,7041.494
2025-01-27,7041.494
2025-01-28,7041.494
2025-01-29,7041.4946
