date,forecast_price
2024-12-31,6475.8555
2025-01-01,6477.388
2025-01-02,6478.472
2025-01-03,6477.4395
2025-01-04,6483.8936
2025-01-05,6480.773
2025-01-06,6480.685
2025-01-07,6478.307
2025-01-08,6482.626
2025-01-09,6479.435
2025-01-10,6474.904
2025-01-11,6480.71
2025-01-12,6472.429
2025-01-13,6469.132
2025-01-14,6470.118
2025-01-15,6476.798
2025-01-16,6469.393
2025-01-17,6466.14
2025-01-18,6461.118
2025-01-19,6466.5864
2025-01-20,6469.4077
2025-01-21,6475.816
2025-01-22,6479.7627
2025-01-23,6472.2305
2025-01-24,6473.8394
2025-01-25,6466.6543
2025-01-26,6468.7036
2025-01-27,6483.842
2025-01-28,6486.8354
2025-01-29,6488.6924
