date,forecast_price
2024-12-31,6090.558
2025-01-01,6093.174
2025-01-02,6094.829
2025-01-03,6096.232
2025-01-04,6098.1885
2025-01-05,6096.221
2025-01-06,6096.915
2025-01-07,6096.7803
2025-01-08,6097.4697
2025-01-09,6095.3135
2025-01-10,6093.963
2025-01-11,6095.274
2025-01-12,6091.558
2025-01-13,6092.2285
2025-01-14,6094.108
2025-01-15,6095.505
2025-01-16,6093.41
2025-01-17,6094.876
2025-01-18,6097.0103
2025-01-19,6101.405
2025-01-20,6104.553
2025-01-21,6107.533
2025-01-22,6107.9214
2025-01-23,6106.4854
2025-01-24,6107.9165
2025-01-25,6109.293
2025-01-26,6113.99
2025-01-27,6120.503
2025-01-28,6120.8467
2025-01-29,6120.7314
