date,forecast_price
2024-12-31,5078.8423
2025-01-01,5075.4443
2025-01-02,5073.5537
2025-01-03,5072.537
2025-01-04,5071.9937
2025-01-05,5071.705
2025-01-06,5071.5537
2025-01-07,5071.476
2025-01-08,5071.4375
2025-01-09,5071.419
2025-01-10,5071.411
2025-01-11,5071.4077
2025-01-12,5071.407
2025-01-13,5071.4077
2025-01-14,5071.408
2025-01-15,5071.4087
2025-01-16,5071.409
2025-01-17,5071.4097
2025-01-18,5071.41
2025-01-19,5071.41
2025-01-20,5071.41
2025-01-21,5071.4106
2025-01-22,5071.4106
2025-01-23,5071.4106
2025-01-24,5071.4106
2025-01-25,5071.4106
2025-01-26,5071.4106
2025-01-27,5071.4106
2025-01-28,5071.4106
2025-01-29,5071.4106
