date,forecast_price
2024-12-31,5594.245
2025-01-01,5606.71
2025-01-02,5616.66
2025-01-03,5624.298
2025-01-04,5630.0605
2025-01-05,5634.353
2025-01-06,5637.5205
2025-01-07,5639.8447
2025-01-08,5641.5435
2025-01-09,5642.782
2025-01-10,5643.6846
2025-01-11,5644.343
2025-01-12,5644.8228
2025-01-13,5645.173
2025-01-14,5645.4287
2025-01-15,5645.616
2025-01-16,5645.754
2025-01-17,5645.8545
2025-01-18,5645.9287
2025-01-19,5645.9834
2025-01-20,5646.024
2025-01-21,5646.053
2025-01-22,5646.075
2025-01-23,5646.091
2025-01-24,5646.103
2025-01-25,5646.1113
2025-01-26,5646.118
2025-01-27,5646.123
2025-01-28,5646.1265
2025-01-29,5646.129
