date,forecast_price
2024-12-31,5404.001
2025-01-01,5349.637
2025-01-02,5319.911
2025-01-03,5302.6914
2025-01-04,5292.451
2025-01-05,5286.334
2025-01-06,5282.721
2025-01-07,5280.637
2025-01-08,5279.48
2025-01-09,5278.8716
2025-01-10,5278.58
2025-01-11,5278.464
2025-01-12,5278.4385
2025-01-13,5278.4556
2025-01-14,5278.49
2025-01-15,5278.5273
2025-01-16,5278.5615
2025-01-17,5278.5903
2025-01-18,5278.613
2025-01-19,5278.6304
2025-01-20,5278.643
2025-01-21,5278.653
2025-01-22,5278.659
2025-01-23,5278.664
2025-01-24,5278.667
2025-01-25,5278.6694
2025-01-26,5278.671
2025-01-27,5278.6724
2025-01-28,5278.673
2025-01-29,5278.674
