date,forecast_price
2024-12-31,6364.8037
2025-01-01,6395.3306
2025-01-02,6413.6445
2025-01-03,6425.263
2025-01-04,6432.6924
2025-01-05,6437.39
2025-01-06,6440.307
2025-01-07,6442.081
2025-01-08,6443.1353
2025-01-09,6443.7485
2025-01-10,6444.096
2025-01-11,6444.2886
2025-01-12,6444.391
2025-01-13,6444.4443
2025-01-14,6444.47
2025-01-15,6444.482
2025-01-16,6444.4863
2025-01-17,6444.4873
2025-01-18,6444.4873
2025-01-19,6444.4863
2025-01-20,6444.4854
2025-01-21,6444.485
2025-01-22,6444.4844
2025-01-23,6444.4834
2025-01-24,6444.483
2025-01-25,6444.4834
2025-01-26,6444.483
2025-01-27,6444.483
2025-01-28,6444.4834
2025-01-29,6444.483
