date,forecast_price
2024-12-31,4658.444
2025-01-01,4651.9883
2025-01-02,4643.315
2025-01-03,4636.6333
2025-01-04,4633.536
2025-01-05,4620.949
2025-01-06,4612.664
2025-01-07,4603.292
2025-01-08,4592.004
2025-01-09,4580.328
2025-01-10,4567.2207
2025-01-11,4557.4204
2025-01-12,4545.9526
2025-01-13,4530.724
2025-01-14,4520.75
2025-01-15,4509.3135
2025-01-16,4498.0938
2025-01-17,4490.012
2025-01-18,4479.166
2025-01-19,4475.16
2025-01-20,4474.7744
2025-01-21,4469.1885
2025-01-22,4459.7183
2025-01-23,4453.67
2025-01-24,4442.92
2025-01-25,4431.1724
2025-01-26,4435.4595
2025-01-27,4432.4526
2025-01-28,4427.196
2025-01-29,4419.5405
