date,forecast_price
2024-12-31,3856.5068
2025-01-01,3853.4824
2025-01-02,3852.3442
2025-01-03,3852.0325
2025-01-04,3852.0469
2025-01-05,3852.1619
2025-01-06,3852.2856
2025-01-07,3852.3862
2025-01-08,3852.459
2025-01-09,3852.508
2025-01-10,3852.5393
2025-01-11,3852.5583
2025-01-12,3852.5693
2025-01-13,3852.5757
2025-01-14,3852.579
2025-01-15,3852.5806
2025-01-16,3852.5813
2025-01-17,3852.5813
2025-01-18,3852.5813
2025-01-19,3852.581
2025-01-20,3852.581
2025-01-21,3852.5808
2025-01-22,3852.5806
2025-01-23,3852.5806
2025-01-24,3852.5803
2025-01-25,3852.58
2025-01-26,3852.58
2025-01-27,3852.58
2025-01-28,3852.58
2025-01-29,3852.58
