date,forecast_price
2024-12-31,3513.3274
2025-01-01,3512.626
2025-01-02,3512.2761
2025-01-03,3512.1008
2025-01-04,3512.0046
2025-01-05,3511.9448
2025-01-06,3511.902
2025-01-07,3511.8687
2025-01-08,3511.8423
2025-01-09,3511.8213
2025-01-10,3511.8042
2025-01-11,3511.7905
2025-01-12,3511.7798
2025-01-13,3511.7712
2025-01-14,3511.7646
2025-01-15,3511.7595
2025-01-16,3511.7554
2025-01-17,3511.7524
2025-01-18,3511.75
2025-01-19,3511.748
2025-01-20,3511.7466
2025-01-21,3511.7456
2025-01-22,3511.7446
2025-01-23,3511.7441
2025-01-24,3511.7437
2025-01-25,3511.7432
2025-01-26,3511.743
2025-01-27,3511.7427
2025-01-28,3511.7424
2025-01-29,3511.7424
