date,forecast_price
2024-12-31,3528.0579
2025-01-01,3526.289
2025-01-02,3525.1023
2025-01-03,3524.3198
2025-01-04,3523.78
2025-01-05,3523.3955
2025-01-06,3523.1196
2025-01-07,3522.924
2025-01-08,3522.7876
2025-01-09,3522.693
2025-01-10,3522.6284
2025-01-11,3522.5847
2025-01-12,3522.5552
2025-01-13,3522.5352
2025-01-14,3522.5215
2025-01-15,3522.512
2025-01-16,3522.5056
2025-01-17,3522.5012
2025-01-18,3522.4983
2025-01-19,3522.496
2025-01-20,3522.4946
2025-01-21,3522.4934
2025-01-22,3522.4927
2025-01-23,3522.4922
2025-01-24,3522.4917
2025-01-25,3522.4915
2025-01-26,3522.4912
2025-01-27,3522.4912
2025-01-28,3522.491
2025-01-29,3522.4907
