date,forecast_price
2024-12-31,4345.9688
2025-01-01,4332.7603
2025-01-02,4323.6714
2025-01-03,4316.638
2025-01-04,4311.2305
2025-01-05,4307.1094
2025-01-06,4304.0
2025-01-07,4301.677
2025-01-08,4299.9585
2025-01-09,4298.699
2025-01-10,4297.7847
2025-01-11,4297.127
2025-01-12,4296.6577
2025-01-13,4296.3257
2025-01-14,4296.093
2025-01-15,4295.931
2025-01-16,4295.82
2025-01-17,4295.7437
2025-01-18,4295.6924
2025-01-19,4295.658
2025-01-20,4295.6357
2025-01-21,4295.621
2025-01-22,4295.612
2025-01-23,4295.6064
2025-01-24,4295.603
2025-01-25,4295.601
2025-01-26,4295.6
2025-01-27,4295.6
2025-01-28,4295.5996
2025-01-29,4295.6
