date,forecast_price
2024-12-31,4086.251
2025-01-01,4076.8267
2025-01-02,4069.8726
2025-01-03,4064.9646
2025-01-04,4061.555
2025-01-05,4059.2249
2025-01-06,4057.655
2025-01-07,4056.6108
2025-01-08,4055.923
2025-01-09,4055.4739
2025-01-10,4055.1814
2025-01-11,4054.991
2025-01-12,4054.8662
2025-01-13,4054.7832
2025-01-14,4054.727
2025-01-15,4054.6877
2025-01-16,4054.659
2025-01-17,4054.6375
2025-01-18,4054.6208
2025-01-19,4054.6074
2025-01-20,4054.5967
2025-01-21,4054.5876
2025-01-22,4054.5803
2025-01-23,4054.5745
2025-01-24,4054.5693
2025-01-25,4054.5654
2025-01-26,4054.562
2025-01-27,4054.5596
2025-01-28,4054.5574
2025-01-29,4054.5557
