date,forecast_price
2024-12-31,4267.6074
2025-01-01,4256.206
2025-01-02,4248.48
2025-01-03,4242.895
2025-01-04,4238.8467
2025-01-05,4235.9062
2025-01-06,4233.7686
2025-01-07,4232.2163
2025-01-08,4231.092
2025-01-09,4230.281
2025-01-10,4229.6987
2025-01-11,4229.283
2025-01-12,4228.9883
2025-01-13,4228.781
2025-01-14,4228.6353
2025-01-15,4228.534
2025-01-16,4228.465
2025-01-17,4228.4175
2025-01-18,4228.3857
2025-01-19,4228.3643
2025-01-20,4228.3506
2025-01-21,4228.3413
2025-01-22,4228.3354
2025-01-23,4228.332
2025-01-24,4228.3296
2025-01-25,4228.328
2025-01-26,4228.3276
2025-01-27,4228.327
2025-01-28,4228.3267
2025-01-29,4228.3267
