date,forecast_price
2024-12-31,4071.3713
2025-01-01,4060.5269
2025-01-02,4054.7852
2025-01-03,4051.3518
2025-01-04,4049.3152
2025-01-05,4048.1199
2025-01-06,4047.4282
2025-01-07,4047.0344
2025-01-08,4046.8145
2025-01-09,4046.6953
2025-01-10,4046.633
2025-01-11,4046.6023
2025-01-12,4046.5886
2025-01-13,4046.5837
2025-01-14,4046.5833
2025-01-15,4046.584
2025-01-16,4046.586
2025-01-17,4046.5876
2025-01-18,4046.589
2025-01-19,4046.5903
2025-01-20,4046.5913
2025-01-21,4046.592
2025-01-22,4046.5925
2025-01-23,4046.5928
2025-01-24,4046.5933
2025-01-25,4046.5933
2025-01-26,4046.5933
2025-01-27,4046.5935
2025-01-28,4046.5935
2025-01-29,4046.5938
