date,forecast_price
2024-12-31,4049.6511
2025-01-01,4043.797
2025-01-02,4041.3179
2025-01-03,4040.2751
2025-01-04,4039.8696
2025-01-05,4039.758
2025-01-06,4039.7788
2025-01-07,4039.8604
2025-01-08,4039.9683
2025-01-09,4040.085
2025-01-10,4040.2026
2025-01-11,4040.3164
2025-01-12,4040.4253
2025-01-13,4040.529
2025-01-14,4040.6257
2025-01-15,4040.7168
2025-01-16,4040.802
2025-01-17,4040.8809
2025-01-18,4040.956
2025-01-19,4041.0227
2025-01-20,4041.0818
2025-01-21,4041.139
2025-01-22,4041.194
2025-01-23,4041.244
2025-01-24,4041.295
2025-01-25,4041.3442
2025-01-26,4041.3772
2025-01-27,4041.4126
2025-01-28,4041.4473
2025-01-29,4041.481
