date,forecast_price
2024-12-31,3550.296
2025-01-01,3547.2356
2025-01-02,3545.5852
2025-01-03,3544.74
2025-01-04,3544.3245
2025-01-05,3544.128
2025-01-06,3544.0388
2025-01-07,3544.001
2025-01-08,3543.9858
2025-01-09,3543.981
2025-01-10,3543.98
2025-01-11,3543.9802
2025-01-12,3543.9807
2025-01-13,3543.9812
2025-01-14,3543.9817
2025-01-15,3543.9817
2025-01-16,3543.9817
2025-01-17,3543.9817
2025-01-18,3543.9817
2025-01-19,3543.9814
2025-01-20,3543.9814
2025-01-21,3543.9814
2025-01-22,3543.9812
2025-01-23,3543.9812
2025-01-24,3543.9812
2025-01-25,3543.981
2025-01-26,3543.981
2025-01-27,3543.981
2025-01-28,3543.981
2025-01-29,3543.981
