date,forecast_price
2024-12-31,3572.48
2025-01-01,3570.7932
2025-01-02,3569.82
2025-01-03,3569.2812
2025-01-04,3568.9927
2025-01-05,3568.842
2025-01-06,3568.7664
2025-01-07,3568.7295
2025-01-08,3568.713
2025-01-09,3568.706
2025-01-10,3568.7036
2025-01-11,3568.7036
2025-01-12,3568.704
2025-01-13,3568.7048
2025-01-14,3568.7058
2025-01-15,3568.7063
2025-01-16,3568.7068
2025-01-17,3568.707
2025-01-18,3568.7075
2025-01-19,3568.7075
2025-01-20,3568.7078
2025-01-21,3568.7078
2025-01-22,3568.7078
2025-01-23,3568.708
2025-01-24,3568.708
2025-01-25,3568.708
2025-01-26,3568.708
2025-01-27,3568.708
2025-01-28,3568.708
2025-01-29,3568.708
