date,forecast_price
2024-12-31,3572.7146
2025-01-01,3570.2617
2025-01-02,3568.8667
2025-01-03,3568.1067
2025-01-04,3567.7153
2025-01-05,3567.5293
2025-01-06,3567.4514
2025-01-07,3567.4275
2025-01-08,3567.4277
2025-01-09,3567.4375
2025-01-10,3567.4495
2025-01-11,3567.4602
2025-01-12,3567.469
2025-01-13,3567.4756
2025-01-14,3567.4802
2025-01-15,3567.4836
2025-01-16,3567.4858
2025-01-17,3567.4873
2025-01-18,3567.488
2025-01-19,3567.4885
2025-01-20,3567.489
2025-01-21,3567.489
2025-01-22,3567.4893
2025-01-23,3567.4893
2025-01-24,3567.4893
2025-01-25,3567.489
2025-01-26,3567.489
2025-01-27,3567.489
2025-01-28,3567.489
2025-01-29,3567.489
