date,forecast_price
2024-12-31,3704.1113
2025-01-01,3705.2693
2025-01-02,3705.4045
2025-01-03,3705.1482
2025-01-04,3704.8171
2025-01-05,3704.5327
2025-01-06,3704.3215
2025-01-07,3704.1763
2025-01-08,3704.0813
2025-01-09,3704.0215
2025-01-10,3703.9841
2025-01-11,3703.9617
2025-01-12,3703.9482
2025-01-13,3703.9402
2025-01-14,3703.9355
2025-01-15,3703.9329
2025-01-16,3703.9314
2025-01-17,3703.9304
2025-01-18,3703.93
2025-01-19,3703.93
2025-01-20,3703.9294
2025-01-21,3703.9294
2025-01-22,3703.9294
2025-01-23,3703.9294
2025-01-24,3703.9294
2025-01-25,3703.9294
2025-01-26,3703.9294
2025-01-27,3703.9294
2025-01-28,3703.9294
2025-01-29,3703.9294
