date,forecast_price
2024-12-31,4265.886
2025-01-01,4253.7954
2025-01-02,4234.302
2025-01-03,4217.4414
2025-01-04,4198.5586
2025-01-05,4164.554
2025-01-06,4148.581
2025-01-07,4132.268
2025-01-08,4105.5176
2025-01-09,4082.8892
2025-01-10,4058.4917
2025-01-11,4034.265
2025-01-12,4011.1577
2025-01-13,3992.099
2025-01-14,3971.2334
2025-01-15,3958.828
2025-01-16,3941.4644
2025-01-17,3922.562
2025-01-18,3904.0247
2025-01-19,3880.8267
2025-01-20,3862.7695
2025-01-21,3835.7996
2025-01-22,3801.8164
2025-01-23,3788.9702
2025-01-24,3762.0732
2025-01-25,3737.56
2025-01-26,3723.9749
2025-01-27,3700.9841
2025-01-28,3671.4983
2025-01-29,3646.0264
