date,forecast_price
2024-12-31,2558.2212
2025-01-01,2575.6807
2025-01-02,2587.1606
2025-01-03,2595.3027
2025-01-04,2601.101
2025-01-05,2605.167
2025-01-06,2607.9668
2025-01-07,2609.8657
2025-01-08,2611.1377
2025-01-09,2611.9805
2025-01-10,2612.5352
2025-01-11,2612.8972
2025-01-12,2613.1328
2025-01-13,2613.2847
2025-01-14,2613.3828
2025-01-15,2613.4458
2025-01-16,2613.4868
2025-01-17,2613.5125
2025-01-18,2613.5293
2025-01-19,2613.5398
2025-01-20,2613.5469
2025-01-21,2613.551
2025-01-22,2613.554
2025-01-23,2613.5562
2025-01-24,2613.5571
2025-01-25,2613.558
2025-01-26,2613.5586
2025-01-27,2613.559
2025-01-28,2613.5593
2025-01-29,2613.5593
