date,forecast_price
2024-12-31,2872.818
2025-01-01,2897.997
2025-01-02,2915.952
2025-01-03,2929.0447
2025-01-04,2938.6233
2025-01-05,2945.5903
2025-01-06,2950.6172
2025-01-07,2954.2148
2025-01-08,2956.7722
2025-01-09,2958.58
2025-01-10,2959.852
2025-01-11,2960.744
2025-01-12,2961.367
2025-01-13,2961.8008
2025-01-14,2962.1028
2025-01-15,2962.312
2025-01-16,2962.457
2025-01-17,2962.5566
2025-01-18,2962.6257
2025-01-19,2962.673
2025-01-20,2962.7056
2025-01-21,2962.7278
2025-01-22,2962.7432
2025-01-23,2962.7532
2025-01-24,2962.7603
2025-01-25,2962.7651
2025-01-26,2962.7683
2025-01-27,2962.7705
2025-01-28,2962.7717
2025-01-29,2962.773
