date,forecast_price
2024-12-31,2918.3047
2025-01-01,2927.257
2025-01-02,2934.234
2025-01-03,2937.9028
2025-01-04,2939.6726
2025-01-05,2940.388
2025-01-06,2940.5571
2025-01-07,2940.475
2025-01-08,2940.3027
2025-01-09,2940.119
2025-01-10,2939.9578
2025-01-11,2939.83
2025-01-12,2939.734
2025-01-13,2939.6653
2025-01-14,2939.6172
2025-01-15,2939.5842
2025-01-16,2939.5625
2025-01-17,2939.5479
2025-01-18,2939.5386
2025-01-19,2939.5325
2025-01-20,2939.5286
2025-01-21,2939.5261
2025-01-22,2939.5244
2025-01-23,2939.5234
2025-01-24,2939.523
2025-01-25,2939.5225
2025-01-26,2939.522
2025-01-27,2939.5217
2025-01-28,2939.5217
2025-01-29,2939.5217
