date,forecast_price
2024-12-31,3846.0093
2025-01-01,3781.0437
2025-01-02,3740.9106
2025-01-03,3706.4368
2025-01-04,3677.4453
2025-01-05,3653.216
2025-01-06,3632.9858
2025-01-07,3616.0981
2025-01-08,3601.9934
2025-01-09,3590.2036
2025-01-10,3580.3384
2025-01-11,3572.074
2025-01-12,3565.1406
2025-01-13,3559.3145
2025-01-14,3554.4104
2025-01-15,3550.2761
2025-01-16,3546.784
2025-01-17,3543.8286
2025-01-18,3541.3228
2025-01-19,3539.1943
2025-01-20,3537.3826
2025-01-21,3535.8389
2025-01-22,3534.5205
2025-01-23,3533.3933
2025-01-24,3532.4277
2025-01-25,3531.6
2025-01-26,3530.89
2025-01-27,3530.279
2025-01-28,3529.754
2025-01-29,3529.3018
