date,forecast_price
2024-12-31,3593.1067
2025-01-01,3505.8667
2025-01-02,3436.8591
2025-01-03,3381.2664
2025-01-04,3330.793
2025-01-05,3284.5173
2025-01-06,3247.0442
2025-01-07,3216.8179
2025-01-08,3192.5369
2025-01-09,3172.9934
2025-01-10,3156.738
2025-01-11,3143.806
2025-01-12,3133.5247
2025-01-13,3125.3384
2025-01-14,3118.8057
2025-01-15,3113.5776
2025-01-16,3109.3794
2025-01-17,3105.9958
2025-01-18,3103.257
2025-01-19,3101.0322
2025-01-20,3099.2192
2025-01-21,3097.7368
2025-01-22,3096.5227
2025-01-23,3095.5256
2025-01-24,3094.706
2025-01-25,3094.032
2025-01-26,3093.4773
2025-01-27,3093.0205
2025-01-28,3092.6445
2025-01-29,3092.3352
