date,forecast_price
2024-12-31,4010.5278
2025-01-01,4007.3796
2025-01-02,3996.1794
2025-01-03,3985.363
2025-01-04,3970.5178
2025-01-05,3951.262
2025-01-06,3940.431
2025-01-07,3926.9976
2025-01-08,3907.8923
2025-01-09,3889.7659
2025-01-10,3870.633
2025-01-11,3852.1592
2025-01-12,3834.243
2025-01-13,3818.3354
2025-01-14,3802.7695
2025-01-15,3790.9714
2025-01-16,3777.879
2025-01-17,3765.5706
2025-01-18,3751.0168
2025-01-19,3735.295
2025-01-20,3720.3713
2025-01-21,3702.227
2025-01-22,3681.872
2025-01-23,3672.2039
2025-01-24,3655.5808
2025-01-25,3641.4714
2025-01-26,3635.155
2025-01-27,3625.136
2025-01-28,3605.4155
2025-01-29,3589.6306
