date,forecast_price
2024-12-31,3429.7288
2025-01-01,3397.6829
2025-01-02,3378.346
2025-01-03,3365.7285
2025-01-04,3357.4807
2025-01-05,3352.0776
2025-01-06,3348.5332
2025-01-07,3346.206
2025-01-08,3344.6792
2025-01-09,3343.677
2025-01-10,3343.0193
2025-01-11,3342.5874
2025-01-12,3342.303
2025-01-13,3342.1157
2025-01-14,3341.992
2025-01-15,3341.9097
2025-01-16,3341.855
2025-01-17,3341.8184
2025-01-18,3341.794
2025-01-19,3341.7773
2025-01-20,3341.766
2025-01-21,3341.7585
2025-01-22,3341.7534
2025-01-23,3341.7498
2025-01-24,3341.7473
2025-01-25,3341.7456
2025-01-26,3341.7446
2025-01-27,3341.7437
2025-01-28,3341.7432
2025-01-29,3341.743
