date,forecast_price
2024-12-31,3392.8608
2025-01-01,3410.6719
2025-01-02,3422.2666
2025-01-03,3432.309
2025-01-04,3440.6064
2025-01-05,3447.2502
2025-01-06,3452.4617
2025-01-07,3456.4932
2025-01-08,3459.582
2025-01-09,3461.9304
2025-01-10,3463.706
2025-01-11,3465.0417
2025-01-12,3466.0413
2025-01-13,3466.7864
2025-01-14,3467.3394
2025-01-15,3467.7478
2025-01-16,3468.0483
2025-01-17,3468.2686
2025-01-18,3468.4292
2025-01-19,3468.546
2025-01-20,3468.6304
2025-01-21,3468.6912
2025-01-22,3468.7346
2025-01-23,3468.7659
2025-01-24,3468.7878
2025-01-25,3468.8032
2025-01-26,3468.8142
2025-01-27,3468.8218
2025-01-28,3468.8271
2025-01-29,3468.8306
