date,forecast_price
2024-12-31,2852.6423
2025-01-01,2851.815
2025-01-02,2850.8975
2025-01-03,2849.769
2025-01-04,2848.5671
2025-01-05,2847.42
2025-01-06,2846.399
2025-01-07,2845.531
2025-01-08,2844.817
2025-01-09,2844.2427
2025-01-10,2843.7893
2025-01-11,2843.4355
2025-01-12,2843.1628
2025-01-13,2842.9539
2025-01-14,2842.795
2025-01-15,2842.6748
2025-01-16,2842.584
2025-01-17,2842.5156
2025-01-18,2842.4644
2025-01-19,2842.426
2025-01-20,2842.3972
2025-01-21,2842.3757
2025-01-22,2842.3596
2025-01-23,2842.3474
2025-01-24,2842.3384
2025-01-25,2842.3313
2025-01-26,2842.3262
2025-01-27,2842.3223
2025-01-28,2842.3196
2025-01-29,2842.3174
