date,forecast_price
2024-12-31,2959.3936
2025-01-01,2996.7427
2025-01-02,3016.0396
2025-01-03,3027.2827
2025-01-04,3033.9631
2025-01-05,3037.9458
2025-01-06,3040.301
2025-01-07,3041.6682
2025-01-08,3042.4377
2025-01-09,3042.851
2025-01-10,3043.0552
2025-01-11,3043.141
2025-01-12,3043.1626
2025-01-13,3043.1514
2025-01-14,3043.126
2025-01-15,3043.0962
2025-01-16,3043.067
2025-01-17,3043.0413
2025-01-18,3043.0195
2025-01-19,3043.0012
2025-01-20,3042.9873
2025-01-21,3042.9758
2025-01-22,3042.967
2025-01-23,3042.9604
2025-01-24,3042.9556
2025-01-25,3042.9517
2025-01-26,3042.949
2025-01-27,3042.9468
2025-01-28,3042.9453
2025-01-29,3042.944
