date,forecast_price
2024-12-31,3120.9883
2025-01-01,3099.1233
2025-01-02,3091.5098
2025-01-03,3088.0876
2025-01-04,3086.3838
2025-01-05,3085.424
2025-01-06,3084.8235
2025-01-07,3084.4216
2025-01-08,3084.1436
2025-01-09,3083.9492
2025-01-10,3083.8125
2025-01-11,3083.717
2025-01-12,3083.649
2025-01-13,3083.6013
2025-01-14,3083.568
2025-01-15,3083.5444
2025-01-16,3083.5276
2025-01-17,3083.5154
2025-01-18,3083.5068
2025-01-19,3083.5002
2025-01-20,3083.4956
2025-01-21,3083.4922
2025-01-22,3083.4895
2025-01-23,3083.4875
2025-01-24,3083.4863
2025-01-25,3083.485
2025-01-26,3083.4844
2025-01-27,3083.4836
2025-01-28,3083.4832
2025-01-29,3083.4827
