date,forecast_price
2024-12-31,1130.6719
2025-01-01,1132.0841
2025-01-02,1133.1416
2025-01-03,1133.9146
2025-01-04,1134.483
2025-01-05,1134.8982
2025-01-06,1135.1987
2025-01-07,1135.4147
2025-01-08,1135.5688
2025-01-09,1135.6786
2025-01-10,1135.7563
2025-01-11,1135.8118
2025-01-12,1135.8511
2025-01-13,1135.8792
2025-01-14,1135.8993
2025-01-15,1135.9138
2025-01-16,1135.9241
2025-01-17,1135.9316
2025-01-18,1135.937
2025-01-19,1135.9409
2025-01-20,1135.9438
2025-01-21,1135.9458
2025-01-22,1135.9473
2025-01-23,1135.9484
2025-01-24,1135.9492
2025-01-25,1135.9497
2025-01-26,1135.9502
2025-01-27,1135.9507
2025-01-28,1135.9507
2025-01-29,1135.9509
