date,forecast_price
2024-12-31,1668.1362
2025-01-01,1667.1986
2025-01-02,1666.5662
2025-01-03,1666.1741
2025-01-04,1665.9391
2025-01-05,1665.802
2025-01-06,1665.7242
2025-01-07,1665.6813
2025-01-08,1665.6583
2025-01-09,1665.6466
2025-01-10,1665.641
2025-01-11,1665.6385
2025-01-12,1665.6377
2025-01-13,1665.6376
2025-01-14,1665.6378
2025-01-15,1665.6382
2025-01-16,1665.6385
2025-01-17,1665.6388
2025-01-18,1665.6389
2025-01-19,1665.6392
2025-01-20,1665.6393
2025-01-21,1665.6394
2025-01-22,1665.6394
2025-01-23,1665.6395
2025-01-24,1665.6395
2025-01-25,1665.6395
2025-01-26,1665.6395
2025-01-27,1665.6395
2025-01-28,1665.6395
2025-01-29,1665.6395
