date,forecast_price
2024-12-31,1669.2312
2025-01-01,1665.6602
2025-01-02,1662.9219
2025-01-03,1660.9111
2025-01-04,1659.4592
2025-01-05,1658.4127
2025-01-06,1657.6558
2025-01-07,1657.1058
2025-01-08,1656.7043
2025-01-09,1656.4102
2025-01-10,1656.1941
2025-01-11,1656.0349
2025-01-12,1655.9176
2025-01-13,1655.8309
2025-01-14,1655.7668
2025-01-15,1655.7195
2025-01-16,1655.6843
2025-01-17,1655.6583
2025-01-18,1655.6392
2025-01-19,1655.6249
2025-01-20,1655.6144
2025-01-21,1655.6066
2025-01-22,1655.6007
2025-01-23,1655.5964
2025-01-24,1655.5931
2025-01-25,1655.5908
2025-01-26,1655.5891
2025-01-27,1655.5878
2025-01-28,1655.5868
2025-01-29,1655.586
