date,forecast_price
2024-12-31,1616.362
2025-01-01,1616.5425
2025-01-02,1616.5375
2025-01-03,1616.6179
2025-01-04,1616.7195
2025-01-05,1616.8185
2025-01-06,1616.9058
2025-01-07,1616.9783
2025-01-08,1617.0364
2025-01-09,1617.0819
2025-01-10,1617.1167
2025-01-11,1617.1432
2025-01-12,1617.1628
2025-01-13,1617.1775
2025-01-14,1617.1881
2025-01-15,1617.1959
2025-01-16,1617.2017
2025-01-17,1617.2057
2025-01-18,1617.2086
2025-01-19,1617.2108
2025-01-20,1617.2123
2025-01-21,1617.2134
2025-01-22,1617.2141
2025-01-23,1617.2146
2025-01-24,1617.2151
2025-01-25,1617.2153
2025-01-26,1617.2155
2025-01-27,1617.2156
2025-01-28,1617.2157
2025-01-29,1617.2158
