date,forecast_price
2024-12-31,1080.1089
2025-01-01,1084.1099
2025-01-02,1084.7656
2025-01-03,1085.074
2025-01-04,1085.2544
2025-01-05,1085.368
2025-01-06,1085.4396
2025-01-07,1085.4844
2025-01-08,1085.5127
2025-01-09,1085.5305
2025-01-10,1085.5415
2025-01-11,1085.5483
2025-01-12,1085.5524
2025-01-13,1085.5548
2025-01-14,1085.556
2025-01-15,1085.5566
2025-01-16,1085.5569
2025-01-17,1085.5569
2025-01-18,1085.5569
2025-01-19,1085.5566
2025-01-20,1085.5564
2025-01-21,1085.5562
2025-01-22,1085.5559
2025-01-23,1085.5557
2025-01-24,1085.5555
2025-01-25,1085.5552
2025-01-26,1085.5552
2025-01-27,1085.5549
2025-01-28,1085.5549
2025-01-29,1085.5549
