date,forecast_price
2024-12-31,998.1095
2025-01-01,998.3183
2025-01-02,998.70276
2025-01-03,999.02405
2025-01-04,999.26154
2025-01-05,999.4378
2025-01-06,999.5675
2025-01-07,999.6636
2025-01-08,999.73444
2025-01-09,999.78687
2025-01-10,999.82526
2025-01-11,999.8534
2025-01-12,999.8738
2025-01-13,999.8881
2025-01-14,999.8983
2025-01-15,999.9053
2025-01-16,999.9098
2025-01-17,999.91266
2025-01-18,999.91425
2025-01-19,999.915
2025-01-20,999.91516
2025-01-21,999.91486
2025-01-22,999.91437
2025-01-23,999.9137
2025-01-24,999.9128
2025-01-25,999.91205
2025-01-26,999.9112
2025-01-27,999.9104
2025-01-28,999.90967
2025-01-29,999.909
