date,forecast_price
2024-12-31,1244.9897
2025-01-01,1257.7146
2025-01-02,1264.6318
2025-01-03,1271.4673
2025-01-04,1265.9976
2025-01-05,1259.6022
2025-01-06,1266.0471
2025-01-07,1266.5576
2025-01-08,1246.706
2025-01-09,1237.7517
2025-01-10,1234.9249
2025-01-11,1232.2449
2025-01-12,1231.2913
2025-01-13,1233.49
2025-01-14,1237.0946
2025-01-15,1243.4536
2025-01-16,1241.1792
2025-01-17,1238.1641
2025-01-18,1247.4055
2025-01-19,1255.3464
2025-01-20,1264.4102
2025-01-21,1271.936
2025-01-22,1273.436
2025-01-23,1272.8286
2025-01-24,1285.7554
2025-01-25,1291.48
2025-01-26,1304.8776
2025-01-27,1303.9432
2025-01-28,1311.0201
2025-01-29,1321.9326
