date,forecast_price
2024-12-31,1325.8258
2025-01-01,1331.0466
2025-01-02,1334.3726
2025-01-03,1338.9745
2025-01-04,1333.7665
2025-01-05,1327.5363
2025-01-06,1330.6306
2025-01-07,1329.6228
2025-01-08,1311.9104
2025-01-09,1302.9989
2025-01-10,1298.9935
2025-01-11,1295.0376
2025-01-12,1292.1348
2025-01-13,1291.1735
2025-01-14,1291.0885
2025-01-15,1293.0795
2025-01-16,1289.591
2025-01-17,1285.4095
2025-01-18,1287.2599
2025-01-19,1288.659
2025-01-20,1290.9463
2025-01-21,1293.0884
2025-01-22,1292.0989
2025-01-23,1289.6279
2025-01-24,1293.0166
2025-01-25,1293.5771
2025-01-26,1298.2024
2025-01-27,1296.2178
2025-01-28,1297.881
2025-01-29,1302.122
