date,forecast_price
2024-12-31,1377.041
2025-01-01,1377.0314
2025-01-02,1376.6946
2025-01-03,1376.2043
2025-01-04,1375.7617
2025-01-05,1375.4138
2025-01-06,1375.1582
2025-01-07,1374.9777
2025-01-08,1374.8533
2025-01-09,1374.769
2025-01-10,1374.712
2025-01-11,1374.6741
2025-01-12,1374.6489
2025-01-13,1374.6318
2025-01-14,1374.6206
2025-01-15,1374.6128
2025-01-16,1374.6077
2025-01-17,1374.6042
2025-01-18,1374.6018
2025-01-19,1374.6003
2025-01-20,1374.5992
2025-01-21,1374.5985
2025-01-22,1374.5979
2025-01-23,1374.5975
2025-01-24,1374.5973
2025-01-25,1374.5972
2025-01-26,1374.5969
2025-01-27,1374.5969
2025-01-28,1374.5969
2025-01-29,1374.5969
