date,forecast_price
2024-12-31,1354.1445
2025-01-01,1352.5837
2025-01-02,1351.562
2025-01-03,1350.9299
2025-01-04,1350.5476
2025-01-05,1350.325
2025-01-06,1350.2026
2025-01-07,1350.1426
2025-01-08,1350.1198
2025-01-09,1350.1182
2025-01-10,1350.1276
2025-01-11,1350.1418
2025-01-12,1350.1577
2025-01-13,1350.173
2025-01-14,1350.1868
2025-01-15,1350.1985
2025-01-16,1350.2083
2025-01-17,1350.2162
2025-01-18,1350.2224
2025-01-19,1350.2275
2025-01-20,1350.2313
2025-01-21,1350.2344
2025-01-22,1350.2365
2025-01-23,1350.2383
2025-01-24,1350.2395
2025-01-25,1350.2405
2025-01-26,1350.2412
2025-01-27,1350.2417
2025-01-28,1350.2422
2025-01-29,1350.2424
