date,forecast_price
2024-12-31,1640.5275
2025-01-01,1639.0101
2025-01-02,1638.357
2025-01-03,1638.0424
2025-01-04,1637.9269
2025-01-05,1637.9078
2025-01-06,1637.9298
2025-01-07,1637.9631
2025-01-08,1637.9957
2025-01-09,1638.023
2025-01-10,1638.0437
2025-01-11,1638.0588
2025-01-12,1638.0696
2025-01-13,1638.0767
2025-01-14,1638.0814
2025-01-15,1638.0847
2025-01-16,1638.0868
2025-01-17,1638.0879
2025-01-18,1638.0887
2025-01-19,1638.0891
2025-01-20,1638.0894
2025-01-21,1638.0895
2025-01-22,1638.0894
2025-01-23,1638.0895
2025-01-24,1638.0894
2025-01-25,1638.0894
2025-01-26,1638.0892
2025-01-27,1638.0892
2025-01-28,1638.0891
2025-01-29,1638.0891
