date,forecast_price
2024-12-31,3317.4648
2025-01-01,3313.1702
2025-01-02,3306.6973
2025-01-03,3302.2168
2025-01-04,3296.3438
2025-01-05,3290.4927
2025-01-06,3286.5664
2025-01-07,3281.5823
2025-01-08,3276.2217
2025-01-09,3268.9978
2025-01-10,3262.0986
2025-01-11,3256.1243
2025-01-12,3249.0803
2025-01-13,3243.793
2025-01-14,3237.9019
2025-01-15,3232.8813
2025-01-16,3226.9702
2025-01-17,3223.9502
2025-01-18,3218.9473
2025-01-19,3215.645
2025-01-20,3212.4602
2025-01-21,3208.8738
2025-01-22,3204.563
2025-01-23,3202.482
2025-01-24,3198.3914
2025-01-25,3194.317
2025-01-26,3192.9329
2025-01-27,3191.1367
2025-01-28,3186.2778
2025-01-29,3182.723
