date,forecast_price
2024-12-31,4013.2288
2025-01-01,4012.1592
2025-01-02,4010.1887
2025-01-03,4008.843
2025-01-04,4006.8552
2025-01-05,4004.6477
2025-01-06,4003.2434
2025-01-07,4001.3137
2025-01-08,3999.2173
2025-01-09,3996.358
2025-01-10,3993.5896
2025-01-11,3991.211
2025-01-12,3988.4055
2025-01-13,3986.4724
2025-01-14,3984.2908
2025-01-15,3982.5615
2025-01-16,3980.4597
2025-01-17,3979.6511
2025-01-18,3977.873
2025-01-19,3976.8262
2025-01-20,3975.887
2025-01-21,3974.704
2025-01-22,3973.2542
2025-01-23,3972.8481
2025-01-24,3971.4458
2025-01-25,3970.166
2025-01-26,3969.9487
2025-01-27,3969.246
2025-01-28,3967.417
2025-01-29,3966.0903
