date,forecast_price
2024-12-31,2711.6865
2025-01-01,2715.5088
2025-01-02,2715.349
2025-01-03,2714.665
2025-01-04,2714.2693
2025-01-05,2714.2336
2025-01-06,2714.4292
2025-01-07,2714.7275
2025-01-08,2715.0435
2025-01-09,2715.331
2025-01-10,2715.5728
2025-01-11,2715.7666
2025-01-12,2715.9167
2025-01-13,2716.0312
2025-01-14,2716.1162
2025-01-15,2716.1797
2025-01-16,2716.227
2025-01-17,2716.2612
2025-01-18,2716.2864
2025-01-19,2716.3047
2025-01-20,2716.3184
2025-01-21,2716.3281
2025-01-22,2716.3352
2025-01-23,2716.3406
2025-01-24,2716.3442
2025-01-25,2716.3472
2025-01-26,2716.349
2025-01-27,2716.3506
2025-01-28,2716.3516
2025-01-29,2716.3525
