date,forecast_price
2024-12-31,3099.4976
2025-01-01,3112.8296
2025-01-02,3122.211
2025-01-03,3128.9722
2025-01-04,3133.796
2025-01-05,3137.1753
2025-01-06,3139.5046
2025-01-07,3141.09
2025-01-08,3142.1597
2025-01-09,3142.8765
2025-01-10,3143.3545
2025-01-11,3143.6729
2025-01-12,3143.8838
2025-01-13,3144.0234
2025-01-14,3144.1157
2025-01-15,3144.1768
2025-01-16,3144.2173
2025-01-17,3144.244
2025-01-18,3144.2615
2025-01-19,3144.2732
2025-01-20,3144.2808
2025-01-21,3144.2861
2025-01-22,3144.2893
2025-01-23,3144.2915
2025-01-24,3144.293
2025-01-25,3144.294
2025-01-26,3144.295
2025-01-27,3144.2954
2025-01-28,3144.2954
2025-01-29,3144.2957
