date,forecast_price
2024-12-31,2515.793
2025-01-01,2507.348
2025-01-02,2499.7422
2025-01-03,2494.5237
2025-01-04,2491.2178
2025-01-05,2489.1821
2025-01-06,2487.9287
2025-01-07,2487.1467
2025-01-08,2486.6487
2025-01-09,2486.3242
2025-01-10,2486.1077
2025-01-11,2485.961
2025-01-12,2485.8606
2025-01-13,2485.7903
2025-01-14,2485.7415
2025-01-15,2485.7073
2025-01-16,2485.6838
2025-01-17,2485.6667
2025-01-18,2485.6553
2025-01-19,2485.6467
2025-01-20,2485.6416
2025-01-21,2485.6372
2025-01-22,2485.6348
2025-01-23,2485.6328
2025-01-24,2485.6313
2025-01-25,2485.6306
2025-01-26,2485.6301
2025-01-27,2485.6294
2025-01-28,2485.6294
2025-01-29,2485.6292
