date,forecast_price
2024-12-31,2655.0278
2025-01-01,2614.813
2025-01-02,2612.8252
2025-01-03,2610.9746
2025-01-04,2609.7314
2025-01-05,2608.8599
2025-01-06,2608.2373
2025-01-07,2607.7844
2025-01-08,2607.4497
2025-01-09,2607.1997
2025-01-10,2607.0103
2025-01-11,2606.8662
2025-01-12,2606.7554
2025-01-13,2606.6694
2025-01-14,2606.6025
2025-01-15,2606.5503
2025-01-16,2606.5083
2025-01-17,2606.4756
2025-01-18,2606.4492
2025-01-19,2606.4282
2025-01-20,2606.4116
2025-01-21,2606.3982
2025-01-22,2606.3875
2025-01-23,2606.3787
2025-01-24,2606.3716
2025-01-25,2606.3657
2025-01-26,2606.3613
2025-01-27,2606.3574
2025-01-28,2606.3542
2025-01-29,2606.3516
