date,forecast_price
2024-12-31,2736.677
2025-01-01,2699.2615
2025-01-02,2689.9229
2025-01-03,2684.6106
2025-01-04,2681.2322
2025-01-05,2679.046
2025-01-06,2677.5938
2025-01-07,2676.6074
2025-01-08,2675.9243
2025-01-09,2675.4434
2025-01-10,2675.0986
2025-01-11,2674.8486
2025-01-12,2674.665
2025-01-13,2674.5286
2025-01-14,2674.4263
2025-01-15,2674.3489
2025-01-16,2674.2898
2025-01-17,2674.2446
2025-01-18,2674.21
2025-01-19,2674.1829
2025-01-20,2674.1616
2025-01-21,2674.145
2025-01-22,2674.1318
2025-01-23,2674.1216
2025-01-24,2674.1133
2025-01-25,2674.1064
2025-01-26,2674.101
2025-01-27,2674.0967
2025-01-28,2674.0933
2025-01-29,2674.0903
