date,forecast_price
2024-12-31,2678.4976
2025-01-01,2650.1553
2025-01-02,2641.7173
2025-01-03,2637.8237
2025-01-04,2635.1165
2025-01-05,2633.2563
2025-01-06,2631.9514
2025-01-07,2631.0222
2025-01-08,2630.3518
2025-01-09,2629.8623
2025-01-10,2629.5034
2025-01-11,2629.2378
2025-01-12,2629.041
2025-01-13,2628.8936
2025-01-14,2628.7822
2025-01-15,2628.699
2025-01-16,2628.6357
2025-01-17,2628.5876
2025-01-18,2628.5508
2025-01-19,2628.5227
2025-01-20,2628.5012
2025-01-21,2628.4846
2025-01-22,2628.4717
2025-01-23,2628.462
2025-01-24,2628.4543
2025-01-25,2628.4482
2025-01-26,2628.4436
2025-01-27,2628.44
2025-01-28,2628.437
2025-01-29,2628.4346
