date,forecast_price
2024-12-31,2780.2834
2025-01-01,2759.1338
2025-01-02,2751.252
2025-01-03,2745.816
2025-01-04,2742.2964
2025-01-05,2739.8818
2025-01-06,2738.1875
2025-01-07,2736.98
2025-01-08,2736.1096
2025-01-09,2735.4775
2025-01-10,2735.0156
2025-01-11,2734.6755
2025-01-12,2734.4243
2025-01-13,2734.2378
2025-01-14,2734.099
2025-01-15,2733.9956
2025-01-16,2733.9185
2025-01-17,2733.8599
2025-01-18,2733.8164
2025-01-19,2733.7832
2025-01-20,2733.758
2025-01-21,2733.7393
2025-01-22,2733.7249
2025-01-23,2733.7139
2025-01-24,2733.7056
2025-01-25,2733.6992
2025-01-26,2733.6943
2025-01-27,2733.691
2025-01-28,2733.688
2025-01-29,2733.6855
