date,forecast_price
2024-12-31,2798.37
2025-01-01,2775.894
2025-01-02,2755.858
2025-01-03,2744.5107
2025-01-04,2736.5903
2025-01-05,2731.18
2025-01-06,2727.4204
2025-01-07,2724.7866
2025-01-08,2722.9255
2025-01-09,2721.5986
2025-01-10,2720.646
2025-01-11,2719.9558
2025-01-12,2719.4531
2025-01-13,2719.084
2025-01-14,2718.8115
2025-01-15,2718.6084
2025-01-16,2718.4565
2025-01-17,2718.3423
2025-01-18,2718.2556
2025-01-19,2718.1885
2025-01-20,2718.1382
2025-01-21,2718.099
2025-01-22,2718.0693
2025-01-23,2718.046
2025-01-24,2718.0278
2025-01-25,2718.0137
2025-01-26,2718.0024
2025-01-27,2717.994
2025-01-28,2717.9868
2025-01-29,2717.9817
