date,forecast_price
2024-12-31,3608.865
2025-01-01,3601.8281
2025-01-02,3581.8936
2025-01-03,3571.5513
2025-01-04,3555.4438
2025-01-05,3537.6099
2025-01-06,3521.6567
2025-01-07,3501.8003
2025-01-08,3489.36
2025-01-09,3459.8179
2025-01-10,3435.5166
2025-01-11,3413.98
2025-01-12,3389.7769
2025-01-13,3374.016
2025-01-14,3350.0337
2025-01-15,3334.1077
2025-01-16,3304.9927
2025-01-17,3292.3604
2025-01-18,3266.1064
2025-01-19,3248.9336
2025-01-20,3237.5803
2025-01-21,3220.7063
2025-01-22,3201.636
2025-01-23,3192.9973
2025-01-24,3171.8538
2025-01-25,3153.7026
2025-01-26,3142.8481
2025-01-27,3124.9722
2025-01-28,3105.1228
2025-01-29,3087.769
