date,forecast_price
2024-12-31,3243.9744
2025-01-01,3239.0942
2025-01-02,3227.0488
2025-01-03,3221.4053
2025-01-04,3213.278
2025-01-05,3204.711
2025-01-06,3197.7476
2025-01-07,3188.8281
2025-01-08,3185.1084
2025-01-09,3170.5483
2025-01-10,3159.6248
2025-01-11,3150.5063
2025-01-12,3139.7441
2025-01-13,3134.1968
2025-01-14,3123.4692
2025-01-15,3117.89
2025-01-16,3103.936
2025-01-17,3100.161
2025-01-18,3088.045
2025-01-19,3081.1526
2025-01-20,3077.6748
2025-01-21,3070.8696
2025-01-22,3062.4958
2025-01-23,3060.8628
2025-01-24,3050.8933
2025-01-25,3042.7551
2025-01-26,3039.6323
2025-01-27,3031.4946
2025-01-28,3021.751
2025-01-29,3013.7104
