date,forecast_price
2024-12-31,2825.5513
2025-01-01,2830.253
2025-01-02,2830.7368
2025-01-03,2829.5032
2025-01-04,2827.7864
2025-01-05,2826.105
2025-01-06,2824.6528
2025-01-07,2823.478
2025-01-08,2822.5632
2025-01-09,2821.8691
2025-01-10,2821.351
2025-01-11,2820.9685
2025-01-12,2820.6885
2025-01-13,2820.484
2025-01-14,2820.3345
2025-01-15,2820.2256
2025-01-16,2820.1465
2025-01-17,2820.0881
2025-01-18,2820.0454
2025-01-19,2820.0134
2025-01-20,2819.9902
2025-01-21,2819.9724
2025-01-22,2819.9597
2025-01-23,2819.95
2025-01-24,2819.9424
2025-01-25,2819.937
2025-01-26,2819.9326
2025-01-27,2819.9297
2025-01-28,2819.9275
2025-01-29,2819.9255
