date,forecast_price
2024-12-31,2472.1567
2025-01-01,2455.5444
2025-01-02,2447.2563
2025-01-03,2442.9126
2025-01-04,2440.527
2025-01-05,2439.1755
2025-01-06,2438.38
2025-01-07,2437.8882
2025-01-08,2437.5645
2025-01-09,2437.3384
2025-01-10,2437.1714
2025-01-11,2437.044
2025-01-12,2436.9448
2025-01-13,2436.8657
2025-01-14,2436.8037
2025-01-15,2436.7544
2025-01-16,2436.716
2025-01-17,2436.686
2025-01-18,2436.6633
2025-01-19,2436.6455
2025-01-20,2436.6323
2025-01-21,2436.6218
2025-01-22,2436.6147
2025-01-23,2436.6091
2025-01-24,2436.6055
2025-01-25,2436.602
2025-01-26,2436.6
2025-01-27,2436.5986
2025-01-28,2436.5977
2025-01-29,2436.5972
